Lead_ID,Lead_Date,Company_Name,Contact_Email,Lead_Source,Segment,Trial_Activated,Trial_Date,Converted,Conversion_Date,MRR
LD-1164,2026-05-21,Flux Global,info@fluxglobal.com,,SMB,Yes,2026-05-29,Yes,2026-06-14,219
LD-1312,2026-05-13,Synergy Group,info@synergygroup.com,Google,Mid-Market,Yes,2026-05-18,No,,
LD-1441,21/05/2026,Core LLC,info@corellc.com,google,SMB,Yes,25/05/2026,No,,
LD-1333,2026-03-29,Stellar Technologies,info@stellartechnologies.com,LinkedIn Ads,Mid-Market,Yes,2026-04-06,No,,
LD-1249,2026-05-20, Helix LLC  ,info@helixllc.com,LinkedIn,Mid-Market,Yes,2026-05-27,Yes,2026-06-07,710
LD-1122,2026-03-28,Alpha Co,info@alphaco.com,LinkedIn Ads,Enterprise,Yes,2026-03-29,Yes,2026-03-21,3668
LD-1198,2026-04-08,Shift Inc,info@shiftinc.com,LinkedIn,SMB,No,,No,,
LD-1203,2026-03-20,Cloud Partners,info@cloudpartners.com,cold outreach,Mid-Market,Yes,2026-03-29,No,,
LD-1387,2026-03-14,Helix Corp,info@helixcorp.com,referral,Enterprise,Yes,2026-03-16,Yes,2026-03-26,5063
LD-1178,2026-05-10,Bold Corp,info@boldcorp.com,LinkedIn Ads,Mid-Market,Yes,2026-05-16,No,,
LD-1107,2026-05-16 09:50:00,Core Solutions,info@coresolutions.com,LinkedIn,SMB,No,,No,,
LD-1329,2026-03-04,Quantum Inc,info@quantuminc.com,LinkedIn Ads,Enterprise,Yes,2026-03-10,No,,
LD-1228,2026-03-23 14:01:00,Quantum Group,info@quantumgroup.com,Referral,SMB,Yes,2026-04-02 12:36:00,No,,
LD-1152,2026-04-12,Flux Global,info@fluxglobal.com,,Enterprise,Yes,2026-04-20,No,,
LD-1286,08/04/2026,Synergy Partners,info@synergypartners.com,,SMB,No,,No,,
LD-1181,2026-04-08,Cloud Global,info@cloudglobal.com,linkedin,Mid-Market,No,,No,,
LD-1046,14/03/2026,Synergy Group,info@synergygroup.com,referral,SMB,Yes,16/03/2026,No,,
LD-1432,2026-05-13 16:11:00,Cloud Technologies,info@cloudtechnologies.com,GOOGLE,SMB,Yes,2026-05-20 16:34:00,Yes,2026-06-05 15:55:00,275
LD-1259,2026-05-18,Summit Group,info@summitgroup.com,,SMB,Yes,2026-05-27,Yes,2026-06-06,182
LD-1004,2026-04-13,Omega Corp,info@omegacorp.com,linkedin,SMB,No,,No,,
LD-1391,2026-05-09,Sovereign Technologies,info@sovereigntechnologies.com,,Enterprise,Yes,2026-05-10,No,,
LD-1347,2026-03-30,Sovereign Solutions,info@sovereignsolutions.com,GOOGLE,SMB,Yes,2026-03-31,No,,
LD-1548,09/05/2026,Stellar Inc,info@stellarinc.com,Google,Mid-Market,Yes,17/05/2026,No,,
LD-1081,2026-03-01,Pulse Partners,info@pulsepartners.com,LinkedIn Ads,Enterprise,No,,No,,
LD-1480,2026-05-10,Nova LLC,info@novallc.com,GOOGLE,SMB,Yes,2026-05-14,No,,
LD-1052,2026-05-13,Acme Co,info@acmeco.com,Referral,Enterprise,No,,No,,
LD-1069,2026-03-17,Apex Global,info@apexglobal.com,Webinar,Mid-Market,Yes,2026-03-18,No,,
LD-1356,2026-03-22,Alpha Technologies,info@alphatechnologies.com,LinkedIn Ads,SMB,Yes,2026-03-29,No,,
LD-1495,2026-04-22 13:28:00,Beacon Group,info@beacongroup.com,GOOGLE,SMB,No,,No,,
LD-1529,2026-05-10,Sovereign Technologies,info@sovereigntechnologies.com,linkedin,Enterprise,No,,No,,
LD-1085,2026-04-01,Sovereign LLC,info@sovereignllc.com,null,SMB,No,,No,,
LD-1190,2026-04-26,Zenith Solutions,info@zenithsolutions.com,Cold Outreach,Enterprise,Yes,2026-04-28,No,,
LD-1087,2026-05-15,Zenith Group,info@zenithgroup.com,LinkedIn Ads,Enterprise,No,,No,,
LD-1213,2026-03-29,Sovereign Partners,info@sovereignpartners.com,Referral,Enterprise,Yes,2026-04-05,Yes,2026-04-16,5705
LD-1482,2026-04-16,Core Co,,linkedin,SMB,No,,No,,
LD-1141,2026-05-19,Omega Group,info@omegagroup.com,,Enterprise,No,,No,,
LD-1285,2026-05-06 15:04:00,Alpha Technologies,info@alphatechnologies.com,google,Enterprise,Yes,2026-05-12 12:18:00,No,,
LD-1377,2026-04-18, Core Global  ,info@coreglobal.com,LinkedIn,Enterprise,No,,No,,
LD-1136,2026-04-19,Core Inc,info@coreinc.com,google,Mid-Market,Yes,2026-04-26,Yes,2026-05-05,841
LD-1302,08/03/2026,Synergy LLC,info@synergyllc.com,GOOGLE,SMB,Yes,14/03/2026,No,,
LD-1306,2026-03-18 15:50:00,Zenith Co,info@zenithco.com,null,Enterprise,No,,No,,
LD-1110,2026-03-31,Acme Group,info@acmegroup.com,Referral,Enterprise,Yes,2026-04-02,No,,
LD-1165,2026-05-10,Nova Corp,info@novacorp.com,null,Mid-Market,Yes,2026-05-17,No,,
LD-1071,2026-04-21,Shift Inc,info@shiftinc.com,linkedin,SMB,No,,No,,
LD-1530,2026-05-09,Sovereign Inc,info@sovereigninc.com,google,Mid-Market,Yes,2026-05-16,No,,
LD-1485,2026-04-06,Vortex Technologies,,LinkedIn,Enterprise,Yes,2026-04-10,No,,
LD-1167,2026-05-10,Summit Group,info@summitgroup.com,Google,SMB,Yes,2026-05-15,Yes,2026-05-30,281
LD-1371,27/04/2026,Sovereign LLC,info@sovereignllc.com,Cold Outreach,Mid-Market,No,,No,,
LD-1349,2026-03-07,Helix Partners,info@helixpartners.com,referral,Enterprise,Yes,2026-03-08,No,,
LD-1472,22/04/2026,Helix Co,info@helixco.com,LinkedIn,Mid-Market,No,,No,,
LD-1397,2026-05-22,Flux Group,info@fluxgroup.com,referral,Mid-Market,Yes,2026-05-27,No,,
LD-1538,16/05/2026,Omega Co,info@omegaco.com,google,SMB,No,,No,,
LD-1506,2026-03-21 11:49:00,Apex LLC,info@apexllc.com,referral,Mid-Market,Yes,2026-03-23 11:12:00,Yes,2026-04-05 09:29:00,1009
LD-1407,2026-03-30,Core Corp,info@corecorp.com,LinkedIn,Enterprise,Yes,2026-04-06,Yes,2026-04-12,4047
LD-1059,2026-03-26,Synergy Corp,info@synergycorp.com,Webinar,Enterprise,No,,No,,
LD-1386,2026-03-06,Quantum Co,info@quantumco.com,GOOGLE,Enterprise,Yes,2026-03-08,Yes,2026-03-19,6475
LD-1334,06/05/2026, Omega Corp  ,info@omegacorp.com,LinkedIn Ads,Enterprise,Yes,16/05/2026,Yes,24/05/2026,6946
LD-1088,2026-04-18,Core Solutions,info@coresolutions.com,Referral,SMB,No,,No,,
LD-1234,2026-05-05,Acme Corp,info@acmecorp.com,cold outreach,Mid-Market,No,,No,,
LD-1050,2026-05-09,Sovereign Solutions,info@sovereignsolutions.com,LinkedIn,SMB,Yes,2026-05-15,No,,
LD-1431,2026-05-18,Pulse Inc,info@pulseinc.com,LinkedIn Ads,Mid-Market,No,,No,,
LD-1026,08/03/2026,Apex Inc,info@apexinc.com,Cold Outreach,SMB,Yes,17/03/2026,Yes,27/03/2026,117
LD-1089,2026-04-22,Zenith LLC,info@zenithllc.com,Webinar,SMB,Yes,2026-04-23,Yes,2026-05-08,125
LD-1008,2026-05-21,Synergy Co,info@synergyco.com,LinkedIn,SMB,No,,No,,
LD-1496,2026-05-18,Bold Solutions,info@boldsolutions.com,Google,Mid-Market,Yes,2026-05-26,Yes,2026-06-15,-1500
LD-1125,2026-04-07,Acme Partners,info@acmepartners.com,Referral,Enterprise,No,,No,,
LD-1024,2026-03-22,Omega Technologies,info@omegatechnologies.com,linkedin,Mid-Market,No,,No,,
LD-1242,2026-04-18,Bold Partners,info@boldpartners.com,null,Mid-Market,Yes,2026-04-24,No,,
LD-1408,2026-05-13, Sovereign Global  ,info@sovereignglobal.com,Google,SMB,Yes,2026-05-16,No,,
LD-1336,2026-03-31 18:25:00,Core Group,info@coregroup.com,linkedin,Mid-Market,No,,No,,
LD-1073,2026-04-24,Bold Inc,info@boldinc.com,,SMB,Yes,2026-04-29,No,,
LD-1326,2026-04-08,Zenith Corp,info@zenithcorp.com,linkedin,Enterprise,Yes,2026-04-14,Yes,2026-05-02,7955
LD-1414,2026-04-18,Shift Corp,info@shiftcorp.com,,SMB,No,,No,,
LD-1120,2026-05-11 18:39:00,Pulse Inc,info@pulseinc.com,null,Mid-Market,Yes,2026-05-16 13:58:00,No,,
LD-1297,2026-05-22,Sovereign Corp,info@sovereigncorp.com,LinkedIn Ads,SMB,Yes,2026-05-30,Yes,2026-06-17,285
LD-1406,2026-03-01,Sovereign Partners,info@sovereignpartners.com,Webinar,Mid-Market,Yes,2026-03-04,Yes,2026-03-12,1176
LD-1376,2026-05-22,Synergy Global,info@synergyglobal.com,linkedin,Enterprise,No,,No,,
LD-1235,2026-03-02,Omega Corp,info@omegacorp.com,LinkedIn,Enterprise,Yes,2026-03-09,Yes,2026-02-27,5466
LD-1268,2026-04-26,Core Corp,info@corecorp.com,GOOGLE,Mid-Market,Yes,2026-05-03,Yes,2026-05-11,605
LD-1109,2026-05-09,Summit Corp,,Google,Mid-Market,No,,No,,
LD-1061,2026-03-14,Flux Partners,info@fluxpartners.com,null,Enterprise,No,,No,,
LD-1208,29/03/2026,Acme Technologies,info@acmetechnologies.com,Referral,Enterprise,Yes,02/04/2026,Yes,18/04/2026,4270
LD-1022,2026-04-05,Nova Partners,info@novapartners.com,google,SMB,No,,No,,
LD-1173,10/04/2026,Flux LLC,info@fluxllc.com,Cold Outreach,SMB,Yes,18/04/2026,Yes,07/05/2026,163
LD-1370,2026-04-11,Omega LLC,info@omegallc.com,,SMB,Yes,2026-04-17,No,,
LD-1174,2026-03-19,Stellar LLC,info@stellarllc.com,GOOGLE,Mid-Market,No,,No,,
LD-1524,2026-03-12,Acme Partners,info@acmepartners.com,LinkedIn Ads,Mid-Market,No,,No,,
LD-1516,27/03/2026, Helix LLC  ,info@helixllc.com,,Enterprise,Yes,31/03/2026,No,,
LD-1231,2026-04-20 14:01:00,Beacon Partners,info@beaconpartners.com,Referral,Mid-Market,Yes,2026-04-30 15:05:00,No,,
LD-1365,07/03/2026,Alpha Co,info@alphaco.com,referral,Enterprise,No,,No,,
LD-1256,2026-03-05,Pulse Technologies,info@pulsetechnologies.com,null,Mid-Market,Yes,2026-03-07,No,,
LD-1158,2026-04-15,Helix Technologies,info@helixtechnologies.com,Google,SMB,No,,No,,
LD-1513,2026-03-14,Cloud Corp,info@cloudcorp.com,,Enterprise,Yes,2026-03-24,No,,
LD-1384,2026-05-22,Bold Solutions,info@boldsolutions.com,LinkedIn Ads,Mid-Market,No,,No,,
LD-1033,21/03/2026,Pulse LLC,info@pulsellc.com,null,SMB,Yes,27/03/2026,No,,
LD-1509,2026-03-05,Apex Technologies,info@apextechnologies.com,google,Mid-Market,No,,No,,
LD-1251,2026-05-21,Omega LLC,info@omegallc.com,referral,Enterprise,Yes,2026-05-26,No,,
LD-1123,2026-04-04,Helix Partners,info@helixpartners.com,LinkedIn,Enterprise,Yes,2026-04-11,Yes,2026-05-01,999999
LD-1304,2026-05-07,Core Solutions,info@coresolutions.com,GOOGLE,Mid-Market,Yes,2026-05-10,No,,
LD-1500,2026-03-05,Alpha Partners,,LinkedIn,Enterprise,Yes,2026-03-06,No,,
LD-1502,2026-05-06 16:53:00,Alpha Corp,info@alphacorp.com,,Enterprise,No,,No,,
LD-1019,2026-03-10,Beacon Partners,info@beaconpartners.com,cold outreach,Enterprise,Yes,2026-03-18,No,,
LD-1072,2026-03-16,Helix Solutions,info@helixsolutions.com,referral,Mid-Market,No,,No,,
LD-1380,2026-04-02, Alpha Group  ,info@alphagroup.com,cold outreach,SMB,No,,No,,
LD-1225,2026-04-01 12:19:00, Nova Inc  ,info@novainc.com,Cold Outreach,Mid-Market,Yes,2026-04-02 11:05:00,No,,
LD-1369,2026-05-14,Cloud Group,info@cloudgroup.com,GOOGLE,SMB,Yes,2026-05-24,No,,
LD-1044,2026-03-31,Synergy Solutions,,referral,Enterprise,No,,No,,
LD-1250,05/04/2026,Nova Corp,info@novacorp.com,LinkedIn Ads,Mid-Market,Yes,07/04/2026,Yes,27/04/2026,1040
LD-1375,2026-04-02,Apex Technologies,info@apextechnologies.com,LinkedIn Ads,Mid-Market,Yes,2026-04-11,No,,
LD-1323,2026-04-11 17:29:00,Acme Global,info@acmeglobal.com,GOOGLE,SMB,Yes,2026-04-21 10:59:00,Yes,2026-04-29 13:55:00,237
LD-1421,2026-05-16,Summit Partners,info@summitpartners.com,Webinar,Enterprise,Yes,2026-05-17,No,,
LD-1458,2026-04-08,Apex Solutions,info@apexsolutions.com,Referral,Mid-Market,Yes,2026-04-13,No,,
LD-1154,2026-05-09,Apex Solutions,info@apexsolutions.com,Google,Enterprise,Yes,2026-05-11,No,,
LD-1098,2026-03-06,Alpha Inc,info@alphainc.com,google,Mid-Market,Yes,2026-03-13,Yes,2026-03-22,1305
LD-1465,2026-03-20,Core LLC,info@corellc.com,Cold Outreach,Enterprise,Yes,2026-03-23,Yes,2026-03-29,4655
LD-1381,2026-05-20,Stellar Partners,info@stellarpartners.com,google,Enterprise,Yes,2026-05-24,No,,
LD-1021,2026-05-22,Omega Co,info@omegaco.com,LinkedIn,SMB,Yes,2026-05-25,No,,
LD-1284,2026-03-23 09:35:00,Helix Solutions,info@helixsolutions.com,null,Mid-Market,Yes,2026-03-25 18:23:00,Yes,2026-03-31 11:14:00,1323
LD-1091,2026-04-20,Core Global,info@coreglobal.com,null,Mid-Market,No,,No,,
LD-1104,2026-05-09,Sovereign LLC,info@sovereignllc.com,cold outreach,Mid-Market,No,,No,,
LD-1368,2026-03-06 18:07:00,Alpha Partners,info@alphapartners.com,GOOGLE,Mid-Market,Yes,2026-03-07 17:59:00,No,,
LD-1541,2026-04-07, Pulse Inc  ,info@pulseinc.com,LinkedIn Ads,SMB,No,,No,,
LD-1236,2026-04-04,Nova Group,info@novagroup.com,referral,SMB,Yes,2026-04-08,No,,
LD-1042,2026-03-23,Stellar LLC,,linkedin,SMB,Yes,2026-04-02,No,,
LD-1175,2026-04-10,Summit Partners,info@summitpartners.com,linkedin,Mid-Market,Yes,2026-04-17,No,,
LD-1527,2026-05-16 14:29:00,Apex Corp,info@apexcorp.com,linkedin,SMB,Yes,2026-05-21 12:20:00,Yes,2026-06-04 13:34:00,181
LD-1188,2026-03-27,Zenith Co,info@zenithco.com,,Enterprise,Yes,2026-03-29,No,,
LD-1047,2026-04-29,Pulse Co,info@pulseco.com,cold outreach,Enterprise,No,,No,,
LD-1259,2026-05-18,Summit Group (Duplicate Entry),info@summitgroup.com,,SMB,Yes,2026-05-27,Yes,2026-06-06,182
LD-1535,2026-05-08,Shift LLC,info@shiftllc.com,GOOGLE,Mid-Market,Yes,2026-05-14,Yes,2026-06-01,1303
LD-1029,2026-05-08,Beacon Group,info@beacongroup.com,LinkedIn,Mid-Market,Yes,2026-05-16,No,,
LD-1206,2026-03-09 16:02:00,Stellar LLC,info@stellarllc.com,Webinar,Enterprise,Yes,2026-03-16 14:57:00,No,,
LD-1156,2026-05-06, Nova LLC  ,info@novallc.com,GOOGLE,Enterprise,Yes,2026-05-08,Yes,2026-05-22,5510
LD-1350,2026-05-24,Cloud Technologies,info@cloudtechnologies.com,Referral,SMB,Yes,2026-06-03,Yes,2026-06-11,300
LD-1444,2026-04-30,Acme LLC,info@acmellc.com,google,Mid-Market,Yes,2026-05-02,No,,
LD-1184,2026-04-18,Synergy Inc,info@synergyinc.com,LinkedIn,SMB,Yes,2026-04-25,Yes,2026-05-06,205
LD-1275,2026-04-10,Shift LLC,info@shiftllc.com,,Mid-Market,No,,No,,
LD-1291,2026-03-17,Beacon Co,info@beaconco.com,null,Mid-Market,Yes,2026-03-22,Yes,2026-04-02,639
LD-1490,2026-03-06,Cloud Technologies,info@cloudtechnologies.com,GOOGLE,SMB,Yes,2026-03-12,No,,
LD-1247,2026-04-14,Alpha Partners,info@alphapartners.com,,Enterprise,Yes,2026-04-20,No,,
LD-1353,15/03/2026,Zenith Group,info@zenithgroup.com,google,Enterprise,No,,No,,
LD-1197,2026-03-13,Sovereign Partners,info@sovereignpartners.com,linkedin,Mid-Market,Yes,2026-03-18,No,,
LD-1180,2026-05-06,Bold Global,info@boldglobal.com,LinkedIn Ads,SMB,Yes,2026-05-16,No,,
LD-1116,2026-04-02, Sovereign Partners  ,info@sovereignpartners.com,google,Mid-Market,Yes,2026-04-08,No,,
LD-1427,2026-05-01,Nova LLC,info@novallc.com,Webinar,Enterprise,Yes,2026-05-07,No,,
LD-1437,2026-03-23,Sovereign Global,info@sovereignglobal.com,referral,Mid-Market,Yes,2026-04-02,Yes,2026-04-10,1207
LD-1474,2026-04-08 12:54:00,Core Inc,info@coreinc.com,linkedin,Enterprise,Yes,2026-04-18 18:09:00,Yes,2026-05-07 14:09:00,4133
LD-1207,2026-04-18,Pulse Group,info@pulsegroup.com,GOOGLE,Enterprise,Yes,2026-04-21,No,,
LD-1224,2026-03-31,Cloud Technologies,info@cloudtechnologies.com,Referral,SMB,Yes,2026-04-07,No,,
LD-1245,2026-05-11,Shift Solutions,info@shiftsolutions.com,,Enterprise,Yes,2026-05-20,Yes,2026-05-25,6954
LD-1430,2026-03-26,Synergy Technologies,info@synergytechnologies.com,LinkedIn,Enterprise,Yes,2026-03-28,Yes,2026-04-04,7035
LD-1543,2026-04-30,Pulse LLC,info@pulsellc.com,Referral,SMB,Yes,2026-05-03,Yes,2026-05-10,265
LD-1264,2026-05-03,Stellar Co,info@stellarco.com,referral,Mid-Market,No,,No,,
LD-1002,2026-03-12, Apex Inc  ,info@apexinc.com,cold outreach,SMB,Yes,2026-03-21,No,,
LD-1295,2026-03-23,Omega Partners,info@omegapartners.com,google,Mid-Market,Yes,2026-03-26,Yes,2026-04-01,1350
LD-1201,2026-05-17,Pulse Partners,info@pulsepartners.com,LinkedIn,SMB,No,,No,,
LD-1169,2026-03-12,Summit Group,info@summitgroup.com,cold outreach,Mid-Market,No,,No,,
LD-1359,2026-03-17,Zenith Corp,info@zenithcorp.com,google,Mid-Market,No,,No,,
LD-1078,2026-05-15 13:36:00,Apex Group,info@apexgroup.com,linkedin,SMB,No,,No,,
LD-1137,2026-03-11,Sovereign Co,info@sovereignco.com,Webinar,Mid-Market,Yes,2026-03-13,No,,
LD-1521,2026-04-15,Sovereign Technologies,info@sovereigntechnologies.com,Referral,Enterprise,Yes,2026-04-18,No,,
LD-1341,2026-03-16 15:33:00, Stellar LLC  ,info@stellarllc.com,GOOGLE,SMB,Yes,2026-03-26 16:09:00,No,,
LD-1020,2026-03-25,Helix Co,info@helixco.com,null,SMB,No,,No,,
LD-1001,2026-05-21,Beacon Solutions,info@beaconsolutions.com,Webinar,Enterprise,No,,No,,
LD-1463,2026-05-16 17:10:00,Nova Global,info@novaglobal.com,linkedin,Enterprise,Yes,2026-05-17 17:24:00,No,,
LD-1335,2026-03-09,Beacon Co,info@beaconco.com,null,Enterprise,Yes,2026-03-12,No,,
LD-1077,2026-04-04, Zenith Partners  ,,Referral,Enterprise,Yes,2026-04-09,Yes,2026-04-21,7712
LD-1255,2026-05-11,Zenith LLC,info@zenithllc.com,referral,Mid-Market,Yes,2026-05-21,Yes,2026-06-02,799
LD-1010,2026-05-14,Shift LLC,info@shiftllc.com,GOOGLE,Enterprise,Yes,2026-05-15,No,,
LD-1242,2026-04-18,Bold Partners,info@boldpartners.com,null,Mid-Market,Yes,2026-04-24,No,,
LD-1448,2026-03-20,Acme Global,info@acmeglobal.com,LinkedIn Ads,Mid-Market,Yes,2026-03-21,No,,
LD-1503,2026-05-09,Helix Co,info@helixco.com,cold outreach,Enterprise,No,,No,,
LD-1373,2026-03-17 11:32:00,Pulse Co,info@pulseco.com,Cold Outreach,Mid-Market,Yes,2026-03-24 17:18:00,No,,
LD-1293,2026-04-29,Vortex Corp,info@vortexcorp.com,null,Enterprise,Yes,2026-05-03,No,,
LD-1037,2026-03-05 12:12:00,Alpha Co,info@alphaco.com,LinkedIn,SMB,Yes,2026-03-09 15:21:00,Yes,2026-03-16 13:22:00,264
LD-1450,2026-04-20,Omega LLC,info@omegallc.com,Webinar,SMB,Yes,2026-04-30,No,,
LD-1501,06/05/2026,Apex Solutions,info@apexsolutions.com,linkedin,Mid-Market,Yes,13/05/2026,Yes,19/05/2026,1206
LD-1053,09/05/2026,Synergy Partners,info@synergypartners.com,Google,Mid-Market,Yes,16/05/2026,No,,
LD-1442,2026-05-23,Beacon LLC,info@beaconllc.com,LinkedIn Ads,Enterprise,Yes,2026-05-31,No,,
LD-1367,2026-03-06 16:08:00,Helix Corp,info@helixcorp.com,google,Mid-Market,Yes,2026-03-10 14:06:00,No,,
LD-1227,2026-05-12,Apex Corp,info@apexcorp.com,Cold Outreach,Enterprise,No,,No,,
LD-1055,13/04/2026,Omega Technologies,info@omegatechnologies.com,linkedin,SMB,Yes,22/04/2026,Yes,08/05/2026,157
LD-1330,2026-05-04,Vortex Inc,info@vortexinc.com,referral,SMB,No,,No,,
LD-1315,2026-05-09,Stellar Technologies,,cold outreach,Enterprise,No,,No,,
LD-1491,2026-04-08,Cloud Technologies,info@cloudtechnologies.com,Referral,SMB,No,,No,,
LD-1221,2026-05-09 09:33:00,Apex Corp,info@apexcorp.com,,SMB,Yes,2026-05-13 10:45:00,Yes,2026-05-24 17:29:00,195
LD-1537,13/05/2026,Vortex Partners,info@vortexpartners.com,referral,SMB,Yes,20/05/2026,Yes,28/05/2026,275
LD-1528,2026-04-26,Beacon Group,info@beacongroup.com,cold outreach,Enterprise,Yes,2026-04-30,No,,
LD-1074,2026-03-21,Pulse Corp,info@pulsecorp.com,null,Enterprise,Yes,2026-03-22,Yes,2026-04-05,6719
LD-1015,2026-03-11,Zenith Corp,info@zenithcorp.com,GOOGLE,SMB,No,,No,,
LD-1436,2026-03-31,Omega Solutions,info@omegasolutions.com,GOOGLE,Mid-Market,No,,No,,
LD-1331,2026-04-30,Flux Co,info@fluxco.com,null,Enterprise,Yes,2026-05-01,No,,
LD-1483,18/05/2026,Alpha Group,info@alphagroup.com,LinkedIn,SMB,No,,No,,
LD-1202,2026-05-16 10:33:00,Alpha Global,info@alphaglobal.com,cold outreach,SMB,Yes,2026-05-25 17:12:00,No,,
LD-1313,2026-03-10,Omega Group,info@omegagroup.com,google,Mid-Market,Yes,2026-03-20,No,,
LD-1103,2026-04-08, Vortex Group  ,,referral,SMB,Yes,2026-04-17,Yes,2026-05-06,194
LD-1252,2026-05-15,Sovereign Co,info@sovereignco.com,GOOGLE,Mid-Market,No,,No,,
LD-1036,2026-03-04,Core LLC,info@corellc.com,,SMB,Yes,2026-03-06,No,,
LD-1226,2026-04-25,Core Corp,info@corecorp.com,LinkedIn,SMB,No,,No,,
LD-1092,2026-03-05,Synergy Technologies,info@synergytechnologies.com,Referral,SMB,No,,No,,
LD-1136,2026-04-19,Core Inc,info@coreinc.com,google,Mid-Market,Yes,2026-04-26,Yes,2026-05-05,841
LD-1417,2026-04-16,Omega Solutions,info@omegasolutions.com,referral,SMB,Yes,2026-04-25,No,,
LD-1133,2026-05-16,Alpha Global,info@alphaglobal.com,Google,Mid-Market,No,,No,,
LD-1031,2026-03-18,Vortex Global,info@vortexglobal.com,LinkedIn,Enterprise,Yes,2026-03-23,No,,
LD-1171,2026-05-13,Acme Partners,info@acmepartners.com,Webinar,Mid-Market,Yes,2026-05-20,Yes,2026-05-27,1205
LD-1199,2026-04-29,Omega Global,info@omegaglobal.com,,Mid-Market,No,,No,,
LD-1196,02/03/2026,Stellar Solutions,info@stellarsolutions.com,Referral,Mid-Market,Yes,04/03/2026,No,,
LD-1032,2026-04-02 09:05:00, Helix Technologies  ,info@helixtechnologies.com,GOOGLE,Enterprise,No,,No,,
LD-1398,2026-03-14,Bold Corp,info@boldcorp.com,GOOGLE,Enterprise,Yes,2026-03-16,No,,
LD-1477,2026-03-08 14:22:00,Helix LLC,info@helixllc.com,,SMB,No,,No,,
LD-1038,2026-05-05,Pulse Co,info@pulseco.com,linkedin,SMB,Yes,2026-05-10,Yes,2026-05-28,188
LD-1544,2026-03-03,Zenith LLC,info@zenithllc.com,GOOGLE,Enterprise,No,,No,,
LD-1083,2026-05-02,Bold Solutions,info@boldsolutions.com,Google,Enterprise,Yes,2026-05-06,No,,
LD-1132,2026-04-05, Flux Global  ,info@fluxglobal.com,Google,SMB,Yes,2026-04-10,Yes,2026-04-17,257
LD-1166,2026-03-10,Core Corp,info@corecorp.com,LinkedIn Ads,SMB,No,,No,,
LD-1456,2026-04-26,Apex Solutions,info@apexsolutions.com,Cold Outreach,Enterprise,No,,No,,
LD-1395,2026-05-02 14:08:00,Synergy Corp,info@synergycorp.com,LinkedIn,Mid-Market,Yes,2026-05-08 18:42:00,No,,
LD-1342,24/03/2026,Zenith Co,info@zenithco.com,Webinar,SMB,Yes,29/03/2026,Yes,08/04/2026,247
LD-1355,16/04/2026,Core LLC,info@corellc.com,,SMB,Yes,19/04/2026,No,,
LD-1219,2026-03-03,Shift LLC,info@shiftllc.com,LinkedIn,Mid-Market,Yes,2026-03-07,No,,
LD-1394,2026-05-10,Pulse Corp,info@pulsecorp.com,google,SMB,No,,No,,
LD-1142,22/03/2026,Apex LLC,info@apexllc.com,referral,Enterprise,Yes,30/03/2026,Yes,11/04/2026,5535
LD-1233,2026-03-14,Stellar Partners,info@stellarpartners.com,GOOGLE,SMB,Yes,2026-03-22,No,,
LD-1328,2026-03-08,Summit Corp,info@summitcorp.com,GOOGLE,Enterprise,No,,No,,
LD-1039,2026-04-10,Cloud Corp,info@cloudcorp.com,linkedin,SMB,No,,No,,
LD-1339,2026-03-24 14:41:00,Nova Solutions,info@novasolutions.com,linkedin,Mid-Market,No,,No,,
LD-1547,2026-03-11,Cloud Technologies,info@cloudtechnologies.com,cold outreach,SMB,Yes,2026-03-13,No,,
LD-1151,2026-03-06,Flux Technologies,info@fluxtechnologies.com,google,Mid-Market,Yes,2026-03-08,No,,
LD-1130,2026-04-14,Sovereign Solutions,info@sovereignsolutions.com,GOOGLE,Enterprise,Yes,2026-04-16,Yes,2026-05-06,6800
LD-1523,2026-04-17,Stellar Solutions,info@stellarsolutions.com,LinkedIn Ads,SMB,No,,No,,
LD-1357,04/04/2026,Zenith LLC,info@zenithllc.com,google,SMB,No,,No,,
LD-1057,2026-03-15,Quantum Partners,info@quantumpartners.com,GOOGLE,Enterprise,Yes,2026-03-17,No,,
LD-1459,20/04/2026,Acme Inc,info@acmeinc.com,null,Enterprise,Yes,22/04/2026,Yes,12/05/2026,3748
LD-1095,2026-03-02 16:57:00,Stellar Global,info@stellarglobal.com,LinkedIn Ads,Enterprise,Yes,2026-03-09 13:29:00,No,,
LD-1412,2026-03-20,Summit Partners,info@summitpartners.com,,Enterprise,Yes,2026-03-22,Yes,2026-03-31,7943
LD-1290,2026-04-17,Nova Corp,info@novacorp.com,Referral,SMB,Yes,2026-04-18,No,,
LD-1332,2026-03-21 12:54:00,Synergy Solutions,info@synergysolutions.com,Referral,Enterprise,Yes,2026-03-22 16:58:00,Yes,2026-04-01 18:51:00,3069
LD-1461,11/05/2026,Flux Partners,,Referral,Mid-Market,No,,No,,
LD-1536,2026-04-25,Core Global,info@coreglobal.com,Webinar,SMB,No,,No,,
LD-1494,2026-05-07 15:58:00,Sovereign Group,info@sovereigngroup.com,null,SMB,Yes,2026-05-10 09:48:00,No,,
LD-1193,08/05/2026,Apex Group,info@apexgroup.com,Google,Mid-Market,No,,No,,
LD-1067,2026-04-14,Pulse Co,info@pulseco.com,linkedin,Mid-Market,Yes,2026-04-18,No,,
LD-1310,2026-04-12,Beacon Solutions,info@beaconsolutions.com,linkedin,SMB,No,,No,,
